Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-25 14:53:14.884 +0530,"Failure",0:03:07,1,0,3,"20250225_145314.884/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Cources"")"". Text not found.",0
2025-02-25 15:34:01.592 +0530,"Failure",0:00:19,1,0,2,"20250225_153401.592/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Cources"")"". Text not found.",0
